County,"Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
Anchorage,3188279000,2723234000,2730985000,2540205000,2153547000
Fairbanks North Star,468314000,446330000,420688000,431626000,383980000
Kenai Peninsula,458909000,446580000,428513000,404520000,378863000
Juneau,386529000,335155000,319497000,503818000,466559000
Matanuska Susitna,363395000,332468000,314918000,320855000,323757000
Ketchikan Gateway,280776000,280278000,230827000,208680000,202078000
Nome,203501000,224266000,196348000,190964000,178579000
Kodiak Island,161410000,173121000,146594000,146291000,121459000
Valdez Cordova,94643000,95033000,92862000,92305000,94515000
Dillingham,93343000,88787000,89562000,96892000,82177000
Petersburg Census Area,74841000,77929000,,,
Bethel,69472000,62464000,58606000,78526000,46847000
Sitka,59795000,59249000,53942000,75149000,72643000
North Slope,32109000,32454000,28059000,24972000,24911000
Southeast Fairbanks,26330000,23700000,22375000,21283000,20458000
Skagway Municipality,26208000,25076000,,,
Wrangell City and Borough,23262000,22699000,,,
Northwest Arctic,20617000,16665000,18363000,19111000,16281000
Bristol Bay,20114000,17682000,17885000,17603000,18550000
Prince of Wales-Hyder Census Area,12949000,13280000,,,
Prince Wales Ketchikan,,,11662000,12782000,11683000
Skagway Hoonah Angoon,,,23767000,23528000,22980000
Wrangell Petersburg,,,96376000,94390000,88641000
