County,"Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
Jefferson,3609180000,3539231000,3744622000,3114312000,3413877000
Montgomery,634254000,747173000,789293000,790677000,505148000
Baldwin,597278000,512559000,423493000,372840000,320033000
Mobile,590060000,561541000,549058000,528391000,522557000
Madison,583193000,572794000,591584000,555418000,746585000
Shelby,356964000,336300000,329917000,313151000,290076000
Houston,321048000,313812000,340225000,352903000,328039000
Calhoun,247844000,247995000,264203000,269067000,255714000
Tuscaloosa,202496000,195727000,197765000,191281000,185902000
Lee,168938000,157374000,146789000,133352000,125140000
Etowah,167856000,154895000,161702000,169299000,252786000
Marshall,155368000,152861000,162726000,176111000,179661000
Colbert,142589000,40568000,51468000,43114000,41912000
Covington,124690000,124501000,126289000,125429000,127990000
Morgan,116730000,118202000,124082000,121882000,130141000
Lauderdale,102258000,102897000,110284000,110140000,113095000
Cullman,100738000,97210000,96453000,107442000,103908000
Dale,92071000,91040000,93357000,93216000,98094000
Coffee,88319000,84316000,89940000,93111000,102940000
Tallapoosa,79104000,74952000,80283000,83375000,92295000
Marion,78346000,75286000,80167000,81906000,99019000
Dallas,70610000,74244000,66298000,64743000,66972000
Pike,65633000,68780000,71575000,75335000,71653000
Russell,47205000,44937000,49040000,48940000,48138000
Walker,38007000,36574000,41880000,42099000,42956000
Autauga,31010000,29723000,30711000,27519000,27239000
Henry,28647000,30608000,30787000,32926000,34372000
Talladega,24383000,25293000,26515000,24356000,36796000
Elmore,23055000,22514000,23598000,23358000,22013000
Randolph,17266000,18277000,20776000,23258000,24864000
Clay,15459000,14656000,15676000,15494000,16501000
