"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Denver",9567267000,10094102000,8916652000,8409285000,8914247000
"Arapahoe",3680949000,3221482000,3088984000,3040965000,2870399000
"Jefferson",2890262000,2573743000,2517754000,2367596000,2355939000
"Boulder",2220825000,2010358000,2029069000,1845265000,1811400000
"El Paso",1877262000,1771920000,1728924000,1678749000,1586908000
"Douglas",1551549000,1488434000,1272910000,1059623000,984111000
"Larimer",1153155000,1054254000,967682000,927072000,800243000
"Adams",955225000,887621000,831025000,973751000,738708000
"Mesa",854686000,879887000,824319000,831649000,829326000
"La Plata",605423000,512432000,383447000,528099000,312288000
"Weld",495254000,502673000,502375000,471317000,473350000
"Pueblo",453198000,391091000,395287000,418493000,410691000
"Broomfield",423086000,396987000,390050000,358735000,412590000
"Pitkin",380934000,309497000,309975000,253115000,242050000
"Routt",297169000,263078000,242414000,227455000,210502000
"Eagle",283437000,225137000,183940000,188440000,192121000
"Garfield",219876000,214193000,215993000,236517000,211230000
"Montrose",184034000,170689000,156124000,143552000,136651000
"Delta",177566000,131107000,139807000,140732000,118628000
"Summit",145972000,160792000,153727000,140698000,113632000
"Logan",130012000,136903000,131940000,106455000,91154000
"Fremont",84088000,79889000,76635000,78282000,67945000
"Morgan",73791000,91801000,71660000,72603000,88751000
"Archuleta",61779000,55742000,56988000,68421000,56272000
"Grand",55891000,53738000,51189000,48591000,47233000
"Gunnison",39775000,53838000,39765000,35669000,35254000
"San Miguel",39393000,54324000,48102000,45552000,46000000
"Teller",37346000,33202000,31811000,30774000,23874000
"Elbert",32130000,24031000,22414000,19659000,16403000
"Custer",,,,,11209000
