"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Miami-Dade",17031437000,14475867000,13196575000,14191154000,10580517000
"Palm Beach",9396914000,8727124000,8709684000,8635715000,8594044000
"Broward",8907492000,8123242000,7979329000,8048180000,6658988000
"Hillsborough",4684723000,5016863000,5288365000,4486118000,4802102000
"Orange",4629309000,5256816000,4747405000,4554926000,3497804000
"Duval",4516059000,4790735000,4401372000,4370043000,4943172000
"Pinellas",3553562000,3499607000,3558432000,3494602000,3226050000
"Lee",2266098000,2123487000,2066276000,2001743000,1676792000
"Sarasota",1881986000,1831525000,1820484000,1797261000,1931365000
"Collier",1695294000,1568274000,1469661000,1374933000,1323268000
"Brevard",1658493000,1646962000,1691872000,1677901000,1967908000
"Volusia",1616334000,1608350000,1653693000,1668347000,1814676000
"Polk",1076694000,1073182000,1046959000,1016467000,1251597000
"Pasco",1030507000,1033797000,1150247000,1158914000,1096852000
"Alachua",906984000,767731000,753306000,772444000,841021000
"Seminole",864004000,791499000,775218000,737230000,591088000
"Manatee",808573000,754150000,738667000,704216000,699596000
"Saint Johns",748806000,717079000,681162000,694753000,811711000
"Marion",745553000,720899000,786493000,775200000,661363000
"Indian River",719854000,714443000,769001000,737634000,897706000
"Martin",697868000,702399000,701706000,684721000,567958000
"Charlotte",675939000,669328000,673005000,642852000,604540000
"Leon",639914000,572530000,590207000,653376000,913059000
"Lake",544905000,671552000,692714000,700543000,676933000
"Escambia",513369000,507064000,526105000,502657000,741582000
"Saint Lucie",433283000,412179000,430132000,437489000,312487000
"Sumter",320726000,148389000,148431000,140068000,117723000
"Flagler",293169000,282867000,282819000,282163000,275280000
"Osceola",292179000,261842000,254160000,236109000,212355000
"Okaloosa",266512000,240203000,260899000,252214000,277680000
"Clay",259793000,249016000,263033000,252501000,234098000
"Bay",208164000,181142000,173635000,162294000,161977000
"Highlands",207316000,201003000,214985000,217646000,120714000
"Nassau",172523000,165090000,160087000,146572000,140217000
"Monroe",168163000,156410000,141766000,122113000,116726000
"Hernando",164154000,164993000,178697000,193603000,194922000
"Citrus",107813000,108757000,115532000,119706000,117457000
"Walton",71410000,65405000,57732000,48158000,16309000
"Jackson",53774000,66080000,53329000,53140000,51724000
"Baker",49780000,51472000,53918000,50441000,53043000
"Santa Rosa",42210000,39582000,39599000,37726000,28019000
"Madison",40087000,39098000,38814000,39939000,42611000
"De Soto",39925000,39351000,33407000,33348000,30593000
"Washington",34644000,34546000,34166000,34689000,35647000
"Taylor",32884000,36074000,38390000,37623000,38241000
"Holmes",32290000,27864000,26064000,27802000,26048000
"Levy",,,,,0
