"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Fulton",15772440000,15359174000,13218266000,12306769000,13251385000
"Cobb",2943595000,2662589000,2551704000,2414986000,2285799000
"Gwinnett",2703696000,2479732000,2392796000,2258907000,2061023000
"Dekalb",2556448000,2428291000,2360405000,2220807000,1951517000
"Chatham",1182267000,1225597000,1166169000,1195594000,877324000
"Richmond",965873000,950928000,958039000,971510000,978190000
"Forsyth",851343000,762390000,744175000,656420000,651960000
"Cherokee",710152000,639117000,605940000,553032000,618891000
"Muscogee",614694000,666990000,643917000,638340000,629753000
"Hall",543878000,565656000,508727000,452737000,413630000
"Columbia",419260000,391764000,375913000,353706000,321802000
"Fayette",400491000,381177000,375657000,350861000,319092000
"Whitfield",359654000,360635000,369356000,362213000,326018000
"Clayton",315080000,303765000,304346000,292350000,328183000
"Henry",291063000,276313000,277258000,261391000,249747000
"Clarke",270834000,299697000,292105000,254872000,301064000
"Bibb",256553000,247998000,255672000,226355000,226493000
"Bartow",178016000,167289000,168385000,164402000,379633000
"Floyd",174592000,179946000,218837000,202940000,209323000
"Walton",174233000,167905000,180466000,174223000,194263000
"Rockdale",173714000,159048000,163262000,161895000,156383000
"Coweta",132262000,119744000,114024000,112600000,107256000
"Douglas",130379000,118216000,115930000,109526000,100889000
"Paulding",106179000,98302000,97288000,92567000,86975000
"Bulloch",102890000,91474000,88150000,82681000,75411000
"Houston",99843000,87516000,87802000,81677000,79677000
"Sumter",96657000,87107000,87460000,91046000,88688000
"Spalding",82503000,82325000,89401000,85108000,78916000
"Carroll",77466000,70606000,67590000,62703000,57706000
"Catoosa",74415000,71220000,71905000,69721000,70393000
"Newton",65466000,57045000,59627000,56955000,52382000
"Gordon",58022000,53294000,53222000,52554000,53105000
"Glynn",54975000,52809000,51073000,44110000,41965000
"Oconee",53233000,0,0,0,0
"Lumpkin",51752000,50277000,52074000,53203000,50972000
"Jackson",50513000,33292000,32839000,29870000,26830000
"Greene",49914000,43550000,46625000,44248000,35413000
"Chattahoochee",47437000,44207000,42979000,48493000,5369000
"Harris",45287000,41806000,43384000,42555000,39368000
"Liberty",42031000,37669000,41018000,38565000,34563000
"Coffee",34192000,31309000,29936000,30143000,29111000
"Barrow",29518000,28066000,27187000,24257000,24166000
"Laurens",26069000,23289000,22903000,23408000,20285000
"Washington",23909000,22725000,22864000,20981000,19433000
"Walker",19446000,18907000,19650000,20099000,20991000
"Murray",19265000,19166000,20327000,19739000,20520000
"Meriwether",15349000,16099000,16646000,16520000,17768000
"Telfair",14970000,9940000,9645000,9661000,10193000
"Ben Hill",14892000,13797000,14103000,14447000,14946000
