"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Allen",1767552000,1594125000,1703905000,1454364000,1223898000
"Marion",512659000,207267000,,,
"St Joseph",331118000,471211000,478076000,419876000,522815000
"Rush",182968000,174121000,161626000,146684000,138503000
"La Porte",76319000,202050000,222706000,298037000,287939000
"Steuben",63908000,81378000,72045000,74011000,75646000
"White",58074000,110714000,108567000,91320000,86382000
"De Kalb",52412000,104892000,98217000,99933000,98578000
"Adams",50557000,55043000,53351000,52009000,62132000
"Fulton",50080000,49101000,51055000,43035000,44662000
"Lagrange",41515000,43190000,41040000,39725000,45061000
"Miami",39628000,95481000,67227000,78395000,80861000
"Wells",34270000,33190000,35271000,99032000,48695000
"Huntington",33576000,87571000,94312000,84129000,82143000
"Wabash",30079000,27202000,28600000,47608000,34658000
