"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Polk",2919408000,2768766000,2701607000,2458877000,2471906000
"Scott",823009000,866639000,847274000,815157000,777368000
"Cass",707742000,624823000,446690000,486590000,435559000
"Linn",590274000,576541000,582231000,591985000,417487000
"Woodbury",523890000,417954000,422669000,424109000,406862000
"Black Hawk",302306000,316380000,331327000,333216000,326132000
"Marshall",213025000,211821000,191210000,173759000,160621000
"Johnson",206516000,135492000,106664000,83321000,87047000
"Cerro Gordo",177733000,158098000,157498000,138040000,145557000
"Story",176592000,164782000,152652000,139037000,121391000
"Dallas",151652000,148867000,145630000,135834000,131543000
"Webster",130767000,136580000,145238000,156342000,150676000
"Marion",95681000,95660000,96933000,95575000,83153000
"Wapello",90643000,98932000,94772000,87252000,103058000
"Crawford",63370000,63715000,61214000,58234000,53819000
"Poweshiek",63190000,57657000,59201000,56213000,57776000
"Warren",49472000,45709000,45667000,42661000,41191000
"Benton",30457000,34666000,34792000,31486000,29039000
"Greene",27847000,27971000,28355000,28172000,27863000
"Wright",27256000,26401000,26712000,24154000,24106000
"Palo Alto",25934000,25832000,29568000,28439000,27029000
"Fayette",0,,,,
