"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Hennepin",66117112000,114182434000
"Ramsey",3478233000,3350171000
"Dakota",1413105000,1309294000
"Saint Louis",1058742000,1040405000
"Anoka",1050343000,982547000
"Washington",953343000,868874000
"Olmsted",877101000,863351000
"Scott",440633000,406220000
"Blue Earth",392839000,382516000
"Stearns",382539000,674586000
"Wright",301694000,278137000
"Clay",277879000,277253000
"Rice",256074000,240404000
"Steele",189243000,181485000
"Carver",186198000,165411000
"Crow Wing",162322000,148366000
"Lyon",159932000,152848000
"Itasca",159036000,153315000
"Otter Tail",158927000,156305000
"Winona",150739000,140761000
"Goodhue",147342000,978240000
"Mcleod",117076000,117738000
"Beltrami",113252000,108049000
"Douglas",112631000,111720000
"Nobles",95838000,91373000
"Mower",90142000,84041000
"Freeborn",87280000,74371000
"Becker",85846000,86633000
"Sherburne",83353000,75076000
"Kandiyohi",81366000,74817000
"Pennington",80229000,79564000
"Meeker",76092000,92601000
"Isanti",67708000,64963000
"Benton",67447000,66256000
"Carlton",61268000,61345000
"Lake Of The Woods",49070000,52721000
"Dodge",45086000,42799000
"Lake",42464000,41454000
"Nicollet",39242000,37290000
"Koochiching",36930000,34544000
"Faribault",30674000,31262000
"Brown",30066000,27470000
"Waseca",29025000,27217000
