"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Yellowstone",680164000,637843000
"Lewis And Clark",351271000,306435000
"Cascade",320482000,311347000
"Gallatin",259412000,220526000
"Missoula",238090000,207834000
"Flathead",166290000,151799000
"Silver Bow",113687000,137057000
"Valley",96684000,68530000
"Richland",89864000,73163000
"Fergus",68404000,67109000
"Hill",64811000,61099000
"Toole",54753000,38995000
"Pondera",37218000,35484000
"Fallon",34447000,35082000
"Park",29996000,25184000
"Deer Lodge",29480000,30344000
"Beaverhead",27653000,26726000
"Chouteau",26008000,24587000
"Liberty",25917000,28265000
"Carbon",18004000,17321000
"Rosebud",17091000,16649000
"Blaine",16261000,17120000
"Mineral",14605000,14334000
"Musselshell",13426000,14213000
"Mccone",8747000,9514000
