"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Douglas",3918630000,3501809000
"Lancaster",1307206000,1247010000
"Adams",338989000,307530000
"Hall",266326000,271130000
"Sarpy",200371000,185023000
"Buffalo",131712000,128106000
"Madison",128625000,133544000
"Lincoln",107900000,95167000
"Cuming",39870000,39306000
"Morrill",30973000,32113000
"Red Willow",29711000,40996000
"Box Butte",28680000,30293000
"Cherry",27564000,25758000
