"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Union",7601586000,7644947000
"Monmouth",4986232000,3772300000
"Middlesex",3363354000,3239320000
"Bergen",2634239000,2570257000
"Essex",2583401000,1905007000
"Morris",2287971000,4020969000
"Mercer",2068131000,1813723000
"Ocean",1961487000,2203005000
"Burlington",1368013000,1319484000
"Somerset",1218982000,1184138000
"Passaic",1156233000,1133482000
"Camden",906466000,912108000
"Hudson",729621000,650694000
"Atlantic",718944000,940489000
"Gloucester",435256000,491964000
"Hunterdon",421211000,414804000
"Warren",249100000,237749000
"Sussex",199330000,194522000
"Cape May",107876000,78497000
