"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Bernalillo",4919845000,4730624000
"Santa Fe",708692000,579302000
"Dona Ana",495947000,463114000
"San Juan",366659000,357394000
"Lea",317027000,267275000
"Sandoval",212819000,196999000
"Chaves",202526000,201907000
"Valencia",163248000,163394000
"Eddy",159370000,137218000
"Otero",70752000,64615000
"Grant",68975000,63099000
"Lincoln",65040000,61004000
"Luna",63266000,60527000
"Mckinley",58367000,51644000
"Socorro",58211000,53827000
"Cibola",54540000,52968000
"San Miguel",46916000,43843000
"Torrance",45598000,42886000
"Rio Arriba",41584000,39034000
"Roosevelt",37868000,35994000
"Colfax",33675000,31053000
"Curry",33516000,27147000
"Quay",31183000,29583000
"Guadalupe",17270000,16528000
"Los Alamos",,11811000
