"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Burleigh",703299000,724506000
"Cass",608556000,590255000
"Ward",296505000,307086000
"Grand Forks",175110000,160293000
"Stark",148204000,152311000
"Stutsman",130788000,118406000
"Richland",107015000,109558000
"Morton",85979000,82337000
"Barnes",74914000,78172000
"Bowman",50829000,46504000
"Walsh",49687000,48610000
"Traill",18300000,17584000
