"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Mecklenburg",34233644000,35279887000
"Wake",6951148000,7135064000
"Forsyth",2281152000,2276344000
"Guilford",1687599000,1608262000
"Durham",1257385000,1218709000
"Buncombe",1093249000,953936000
"New Hanover",1015433000,988363000
"Iredell",607525000,585903000
"Cabarrus",589440000,549600000
"Orange",485632000,1015333000
"Gaston",473808000,429049000
"Alamance",467982000,448825000
"Catawba",452595000,420377000
"Cumberland",432205000,420717000
"Pitt",364592000,388118000
"Watauga",255344000,227433000
"Union",247379000,224402000
"Henderson",241760000,246378000
"Rowan",228309000,229878000
"Wayne",223481000,218694000
"Moore",218287000,199369000
"Randolph",217166000,221403000
"Davidson",215045000,218751000
"Carteret",213578000,198467000
"Surry",208518000,204785000
"Craven",197183000,164718000
"Wilkes",190503000,185087000
"Nash",182857000,176987000
"Wilson",177753000,168851000
"Burke",177723000,331275000
"Pasquotank",154937000,148962000
"Dare",143892000,127554000
"Beaufort",141395000,142854000
"Onslow",138979000,148606000
"Lenoir",138165000,139558000
"Stanly",137237000,128538000
"Rutherford",119280000,117860000
"Haywood",118294000,173242000
"Rockingham",117807000,120211000
"Cleveland",116465000,109091000
"Transylvania",102182000,93778000
"Jackson",99006000,96361000
"Caldwell",93594000,90168000
"Macon",90649000,90529000
"Person",84730000,86366000
"Yancey",75124000,76613000
"Scotland",74203000,75942000
"Madison",66346000,67015000
"Martin",66303000,43178000
"Johnston",64789000,55926000
"Brunswick",61656000,39113000
"Mitchell",58338000,55219000
"Chatham",55705000,55650000
"Lee",53249000,49726000
"Mcdowell",52658000,50948000
"Davie",50683000,53476000
"Robeson",48066000,43199000
"Bladen",47648000,47321000
"Pamlico",45235000,45233000
"Alexander",43018000,43240000
"Avery",41570000,38565000
"Sampson",38524000,39987000
"Yadkin",37655000,36467000
"Hertford",37320000,37756000
"Stokes",36035000,34504000
"Greene",31522000,32059000
"Bertie",23777000,23711000
