County,"Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
Multnomah,4527268000,4249244000
Washington,1286443000,1136271000
Clackamas,1047686000,942986000
Marion,843402000,796245000
Lane,713228000,679117000
Deschutes,584808000,553878000
Jackson,447534000,437592000
Benton,225624000,219393000
Linn,160110000,148712000
Douglas,146838000,138376000
Yamhill,121389000,108349000
Coos,116675000,108393000
Josephine,108228000,102347000
Klamath,80730000,74886000
Clatsop,77953000,72922000
Crook,59987000,55513000
Polk,57972000,49713000
Hood River,53480000,47035000
Lincoln,50289000,47385000
Wasco,49846000,42677000
Union,48377000,46299000
Tillamook,44873000,37599000
Malheur,35640000,31665000
Umatilla,21154000,21918000
Baker,20755000,19022000
Jefferson,18910000,17060000
Columbia,18067000,16277000
