"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Philadelphia",12924032000,10818927000
"Montgomery",5000879000,5145076000
"Bucks",3345108000,3302684000
"Delaware",2344410000,2392736000
"Chester",1935157000,1678276000
"Lehigh",1921526000,1922607000
"Berks",1858512000,1455388000
"Dauphin",1068386000,961251000
"Northampton",955902000,1255088000
"Lancaster",800789000,822482000
"Luzerne",462408000,552138000
"Lackawanna",461409000,478143000
"York",446349000,441190000
"Schuylkill",338013000,349184000
"Lebanon",333509000,330052000
"Allegheny",329495000,0
"Cumberland",289411000,201960000
"Pike",204634000,195081000
"Monroe",202165000,189404000
"Wayne",50025000,45878000
"Carbon",45667000,43558000
"Wyoming",37794000,37362000
"Northumberland",25475000,25806000
