"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Richland",4206224000,4181060000
"Charleston",2471857000,2069856000
"Greenville",2036014000,1762432000
"Beaufort",693254000,644215000
"Lexington",635180000,605838000
"Florence",596312000,571395000
"Horry",584717000,532615000
"York",531197000,493285000
"Spartanburg",471600000,437337000
"Anderson",344117000,325869000
"Pickens",263463000,254715000
"Georgetown",210729000,195437000
"Dorchester",201478000,184123000
"Greenwood",189947000,182218000
"Aiken",189202000,180233000
"Sumter",187351000,176598000
"Oconee",182889000,165531000
"Berkeley",128496000,99452000
"Lancaster",96936000,95749000
"Darlington",93460000,90708000
"Kershaw",82778000,81724000
"Newberry",70435000,68414000
"Cherokee",52839000,51902000
"Calhoun",49676000,48225000
"Chesterfield",46900000,46806000
"Marlboro",44779000,41838000
"Edgefield",42307000,40483000
"Union",39433000,40638000
"Laurens",38410000,37209000
"Dillon",33157000,31892000
"Fairfield",30830000,28605000
"Colleton",28816000,27384000
"Bamberg",28426000,26769000
"Marion",25655000,25083000
