"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Minnehaha",167102639000,121016063000
"Pennington",561933000,508891000
"Brown",366936000,320370000
"Lawrence",174392000,165938000
"Lincoln",144651000,134054000
"Davison",139298000,152653000
"Codington",137460000,132017000
"Todd",110812000,104075000
"Brookings",88575000,80705000
"Beadle",87310000,85655000
"Meade",82373000,77197000
"Grant",78918000,79656000
"Lake",78527000,74070000
"Hughes",73831000,76392000
"Brule",73675000,74750000
"Walworth",71037000,65486000
"Yankton",68761000,63642000
"Butte",54125000,60233000
"Fall River",52899000,51250000
"Spink",47899000,48514000
"Tripp",35695000,36081000
"Clay",30099000,28593000
"Marshall",18571000,16711000
"Roberts",15767000,14784000
"Turner",12221000,13555000
"Lyman",1191000,1366000
