"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Harris",17914650000,15980094000
"Dallas",8885104000,8495412000
"Travis",6059268000,5838923000
"Tarrant",5728643000,5147033000
"Bexar",3222075000,2814982000
"Montgomery",2318023000,2095388000
"Brazoria",2297010000,2045857000
"Collin",2150798000,2072434000
"El Paso",2150719000,2063805000
"Denton",2132080000,1893083000
"Fort Bend",2001528000,1890045000
"Midland",1284356000,1451072000
"Williamson",1030451000,927928000
"Nueces",870233000,682384000
"Cameron",864801000,833142000
"Brazos",850411000,750974000
"Lubbock",787895000,698947000
"Victoria",773812000,760874000
"Mclennan",584355000,531562000
"Hidalgo",556567000,480837000
"Hays",495524000,457025000
"Wichita",467553000,448796000
"Jefferson",466142000,469472000
"Tom Green",407725000,569027000
"Jim Wells",355933000,317917000
"Comal",345759000,323191000
"Kerr",341498000,317731000
"Johnson",337475000,316310000
"Galveston",332720000,293078000
"Ector",324799000,279632000
"Webb",308401000,301549000
"Potter",286565000,294564000
"Wise",199040000,187960000
"Wilson",182126000,173566000
"Bowie",179982000,213958000
"Ellis",167575000,142541000
"Randall",162955000,152609000
"Bell",161042000,100648000
"Kendall",154655000,136732000
"Gonzales",152619000,148444000
"De Witt",145973000,141420000
"Atascosa",143133000,133481000
"Guadalupe",132581000,118893000
"Kaufman",124298000,116039000
"Matagorda",118118000,119580000
"Bandera",115756000,109484000
"Howard",113633000,93596000
"Orange",107856000,105126000
"Aransas",105651000,97763000
"Rockwall",104140000,88388000
"San Patricio",94712000,83575000
"Washington",91847000,113452000
"Waller",87791000,75413000
"Austin",78678000,75174000
"Liberty",78173000,74220000
"Bastrop",77323000,69713000
"Burnet",76798000,66000000
"Montague",66712000,67087000
"Karnes",66070000,68828000
"Hill",65729000,60067000
"Hardin",63381000,59987000
"Llano",59035000,52551000
"Parker",55474000,49038000
"Kleberg",55340000,49335000
"Lavaca",55289000,51338000
"Jackson",53449000,51791000
"Robertson",52262000,49190000
"Leon",51428000,48734000
"Chambers",49806000,43998000
"Fayette",49461000,50850000
"Hale",47530000,101819000
"Yoakum",45300000,40557000
"Garza",44638000,53085000
"Freestone",42501000,76068000
"Grimes",39467000,38559000
"Calhoun",35230000,33872000
"Hutchinson",33348000,33825000
"Madison",30401000,26891000
"Willacy",27041000,24900000
"Cass",26112000,25528000
"Clay",24811000,23280000
"Archer",22764000,18738000
"Swisher",20036000,21193000
"Hartley",14345000,14962000
