"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Salt Lake",7787455000,7130829000
"Utah",1614722000,1471852000
"Davis",696867000,655424000
"Washington",532295000,492107000
"Weber",446382000,420390000
"Summit",335419000,354931000
"Cache",212989000,203474000
"Iron",114985000,111054000
"Uintah",95802000,97422000
"Box Elder",83786000,84257000
"Duchesne",72128000,73757000
"Wasatch",68349000,60115000
"Grand",62693000,60152000
"Tooele",56526000,54019000
"Beaver",47516000,44183000
"Millard",43822000,41833000
"Carbon",43329000,39102000
"Juab",34915000,33145000
"Sevier",34876000,33642000
"San Juan",32711000,36908000
"Sanpete",25676000,26088000
"Garfield",8489000,8139000
"Emery",,9781000
