"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Fairfax",14094415000,9398565000
"Richmond City",3065374000,3113331000
"Roanoke City",1640830000,1599845000
"Henrico",1439608000,1345360000
"Norfolk City",1398756000,1399604000
"Virginia Beach City",1306217000,1273135000
"Chesterfield",1273056000,1185914000
"Arlington",1044399000,983293000
"Alexandria City",853450000,814593000
"Loudoun",808072000,697722000
"Prince William",714470000,706125000
"Charlottesville City",563476000,517903000
"Chesapeake City",479800000,463098000
"Fairfax City",448223000,396312000
"Lynchburg City",419186000,435060000
"Montgomery",330930000,287782000
"Harrisonburg City",312683000,308482000
"Winchester City",289754000,193869000
"Spotsylvania",273606000,261790000
"Newport News City",263903000,250652000
"Hanover",247851000,231917000
"Bristol",233492000,224377000
"Roanoke",228267000,208560000
"Portsmouth City",222572000,224720000
"Albemarle",207251000,195583000
"Campbell",204566000,208771000
"James City",204193000,193986000
"Falls Church City",195918000,188323000
"Culpeper",179324000,185918000
"Hampton City",175764000,172019000
"Bedford",175755000,173475000
"Stafford",175021000,163180000
"Salem",159496000,153584000
"York",148644000,143780000
"Colonial Heights City",144906000,118589000
"Manassas City",131096000,60686000
"Fredericksburg City",129861000,126493000
"Washington",121071000,107601000
"Frederick",121053000,216177000
"Goochland",120483000,111729000
"Orange",110841000,108497000
"Warren",106190000,97283000
"Petersburg City",105098000,101164000
"Fauquier",102029000,123221000
"Tazewell",96421000,79093000
"Amherst",94077000,94936000
"Lexington City",81397000,
"Williamsburg City",79263000,72800000
"Rockingham",75050000,70029000
"Mecklenburg",73853000,76144000
"Galax City",71779000,72738000
"Suffolk City",69553000,71253000
"Hopewell City",67709000,69510000
"Halifax",66431000,67682000
"Louisa",62739000,62589000
"Smyth",58219000,59444000
"Appomattox",57540000,57763000
"Norton City",56313000,53144000
"Buchanan",56113000,57885000
"Waynesboro City",53807000,49749000
"Gloucester",53531000,53919000
"Wise",53424000,56215000
"Danville City",52638000,
"Madison",52616000,55852000
"Prince Edward",52601000,52337000
"Poquoson City",50658000,50153000
"Covington City",42762000,40185000
"Pulaski",42392000,40947000
"Dickenson",42153000,42953000
"Amelia",39700000,39112000
"Powhatan",35670000,33246000
"Henry",34940000,35775000
"Nelson",34832000,33890000
"Isle Of Wight",34730000,35753000
"Radford",23204000,39871000
"Pittsylvania",,50510000
"Rockbridge",,74948000
