"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"King",10359714000,8850364000
"Pierce",1401090000,1232821000
"Snohomish",1223351000,1071377000
"Clark",951106000,867135000
"Spokane",783555000,619839000
"Kitsap",300136000,276425000
"Whatcom",297830000,246420000
"Chelan",223966000,186586000
"Yakima",211910000,216609000
"Thurston",192024000,170147000
"Skagit",188769000,160821000
"Island",184194000,176486000
"Okanogan",114583000,104609000
"Clallam",105968000,96180000
"Lewis",80075000,72528000
"Kittitas",64363000,59701000
"Jefferson",54641000,47003000
"Benton",46951000,39503000
"San Juan",46761000,41995000
"Douglas",35521000,32838000
