"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Milwaukee",1456488000,1293555000
"Brown",392187000,410906000
"Dane",386906000,392470000
"Waukesha",368175000,337100000
"La Crosse",340629000,333679000
"Sheboygan",280401000,298656000
"Racine",221862000,250463000
"Eau Claire",215723000,221951000
"Outagamie",212257000,292437000
"Ozaukee",174018000,99549000
"Saint Croix",92877000,86871000
"Fond Du Lac",73350000,28676000
"Sauk",68001000,66381000
"Oconto",60452000,61671000
"Manitowoc",48393000,48683000
"Winnebago",34860000,32749000
"Marathon",33608000,22636000
"Rusk",30712000,29468000
"Iowa",27628000,26354000
"Price",24894000,24551000
"Marinette",10266000,8762000
