"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Teton",798923000,794423000
"Natrona",467668000,425136000
"Laramie",347458000,314914000
"Park",257718000,238393000
"Sweetwater",152729000,141119000
"Campbell",110376000,98871000
"Fremont",87130000,86352000
"Uinta",75705000,70865000
"Sheridan",73784000,79798000
"Lincoln",63302000,59470000
"Sublette",44468000,50491000
"Albany",27377000,25010000
"Platte",15254000,15393000
