Title,Course Price,Subscribers,Reviews Left,Percent of Reviews,Length of Course
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,0.01,4.0
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,0.01,12.5
ChatBots: Messenger ChatBot with API.AI and Node.JS,50,2577,529,0.21,4.5
Projects in HTML5,60,8777,206,0.02,15.5
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,23764,490,0.02,5.5
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,3541,202,0.06,4.0
Build Your Own Backend REST API using Django REST Framework,50,2669,112,0.04,5.5
Angular and Firebase - Build a Web App with Typescript,150,1966,359,0.18,5.0
Web Development Masterclass - Complete Certificate Course,200,4090,178,0.04,19.5
Spring Boot Tutorial For Beginners,40,2578,210,0.08,5.5
The Complete Bootstrap Masterclass Course - Build 4 Projects,195,24978,540,0.02,7.0
Scaling Docker on AWS,25,3133,351,0.11,6.0
Learn JavaScript for beginners,200,15276,167,0.01,1.5
HTML Tutorial: HTML & CSS for Beginners,20,12458,253,0.02,4.0
Learn by Doing: Vue JS 2.0 the Right Way,95,1087,220,0.2,3.5
Learn Complete Web Development From Scratch,40,14074,106,0.01,12.0
Introduction to Web Development: HTML,20,26800,333,0.01,3.0
Web Site for Beginners - Learn Web Building like knitting,20,9425,147,0.02,1.5
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,40,2780,94,0.03,3.0
Web Programming with Python,50,35267,217,0.01,4.0
PHP Login and Registration System - Email Confirm Activation,100,2607,317,0.12,5.0
PSD to Responsive HTML5: Beginner to Advanced,40,1502,218,0.15,6.0
Ultimate Web Developer Course Build 10 Websites from Scratch,200,9359,110,0.01,32.5
Rapid Website Design with Bootstrap,200,14842,131,0.01,1.0
Build Enterprise Applications with Angular 2 (and Angular 4),190,6082,848,0.14,9.5
Angular 4 (2+) Crash Course for Beginners,120,12366,506,0.04,9.0
Accelerated JavaScript Training,110,4720,1017,0.22,7.5
"Beginner API development in Node, Express, ES6, & MongoDB",165,7057,655,0.09,18.5
React JS and Redux - Mastering Web Apps,60,16829,820,0.05,5.0
Web Development w/ Googleâ€™s Go (golang) Programming Language,65,4872,662,0.14,19.0
Git a Web Developer Job: Mastering the Modern Workflow,200,5809,1445,0.25,15.0
The Complete WordPress Website Business Course,150,13439,1981,0.15,20.5
The Complete HTML and CSS Course For Beginners,85,733,104,0.14,3.0
Learn  Bootstrap Development By Building 10 Projects,60,14813,1358,0.09,13.5
Advanced Javascript,200,6601,1304,0.2,3.5
Dissecting Ruby on Rails 5 - Become a Professional Developer,195,2804,418,0.15,37.5
The Complete Wordpress Course - Build Your Own Website Today,195,9421,73,0.01,3.5
JQuery Essentials core training for Dynamic Interactive web,100,9668,38,0.0,4.0
Node.js: The Essentials + API Frameworks Express KOA Sails,20,2760,52,0.02,1.0
The Complete PHP Bootcamp Course With Video Sharing Project,195,9831,56,0.01,14.5
Build a Single Page Application with jQuery & AJAX,60,486,59,0.12,2.0
Practical CSS Website Development: Crash Course ,95,11170,35,0.0,2.5
Successful website creation - everything you need to know,150,9384,21,0.0,1.5
Start Writing JavaScript Today - Beginner JavaScript Course,100,9067,41,0.0,3.0
HTML5 Essentials for Beginners,20,10247,200,0.02,1.5
Code a personal splash page in 1 hour,20,10610,83,0.01,1.0
Step-by-step HTML and CSS for Absolute Beginners,120,6162,324,0.05,4.0
Angular 4 Development Decoded,20,1802,13,0.01,1.0
Javascript ES6! A Complete Reference Guide to Javascript ES6,175,4783,41,0.01,7.0
Reactive JS:  Are you ready for the next big paradigm shift?,60,2097,401,0.19,5.5
Learn Python and Django: Payment Processing,70,17714,198,0.01,3.5
Code your first Website using HTML & CSS: Project Learning,20,9554,368,0.04,1.5
