Country Name,Country Code,2012,2013,2014
Afghanistan,AFG,19.70000076,21.10000038,20.79999924
Angola,AGO,10.69999981,10.60000038,10.5
Albania,ALB,28.29999924,28.70000076,29.20000076
Arab World,ARB,29.11321202,29.33530604,29.70456912
United Arab Emirates,ARE,9.800000191,9.899999619,10
Argentina,ARG,18.39999962,19.70000076,21.29999924
Armenia,ARM,35,32.5,35.09999847
Australia,AUS,11.69999981,12.19999981,13.10000038
Austria,AUT,8.699999809,9.100000382,9.199999809
Azerbaijan,AZE,14.30000019,13.39999962,13.60000038
Burundi,BDI,10.80000019,10.80000019,10.69999981
Belgium,BEL,19.70000076,23.10000038,23.60000038
Benin,BEN,2,1.799999952,1.700000048
Burkina Faso,BFA,5.199999809,5.199999809,5
Bangladesh,BGD,8.199999809,8.899999619,9.100000382
Bulgaria,BGR,28.20000076,29.70000076,25.89999962
Bahrain,BHR,10.5,10.60000038,10.89999962
"Bahamas, The",BHS,30.39999962,30.79999924,30.10000038
Bosnia and Herzegovina,BIH,61.70000076,57.40000153,57.5
Belarus,BLR,11.80000019,12,12
Belize,BLZ,26,22.39999962,22
Bolivia,BOL,5.5,5.099999905,5.199999809
Brazil,BRA,14.39999962,14.69999981,15.19999981
Barbados,BRB,26.5,26.20000076,26.79999924
Brunei Darussalam,BRN,11,11.30000019,11.10000038
Bhutan,BTN,6.400000095,10.39999962,10
Botswana,BWA,33.29999924,32.79999924,33.90000153
Central African Republic,CAF,10.69999981,12,11.89999962
Canada,CAN,14.30000019,13.80000019,13.39999962
Central Europe and the Baltics,CEB,26.32247092,26.77545896,24.32673518
Switzerland,CHE,8.5,8.800000191,8.699999809
Chile,CHL,16.20000076,16.10000038,16.39999962
China,CHN,9.699999809,10.10000038,10.5
Cote d'Ivoire,CIV,6,6,5.800000191
Cameroon,CMR,6.400000095,6.300000191,6.699999809
"Congo, Rep.",COG,10.80000019,10.80000019,10.69999981
Colombia,COL,20.60000038,16.89999962,18.89999962
Comoros,COM,10.5,10.5,10.60000038
Cabo Verde,CPV,18.29999924,18.29999924,18.79999924
Costa Rica,CRI,18.79999924,19.89999962,19.20000076
Caribbean small states,CSS,25.97757355,26.47746032,24.59677537
Cuba,CUB,6.800000191,6.900000095,7.099999905
Cyprus,CYP,26.79999924,36.90000153,35.70000076
Czech Republic,CZE,19.60000038,18.89999962,16.70000076
Germany,DEU,8.100000382,7.800000191,7.599999905
Denmark,DNK,14.10000038,13,12.39999962
Dominican Republic,DOM,30.89999962,31.89999962,31.39999962
Algeria,DZA,26.29999924,20.39999962,20
East Asia & Pacific (excluding high income),EAP,10.89142058,11.51148384,11.79057892
Early-demographic dividend,EAR,14.32833225,14.22318104,14.35050363
East Asia & Pacific,EAS,10.75469503,11.2969454,11.5704049
Europe & Central Asia (excluding high income),ECA,17.84104195,17.29501611,17.24928397
Europe & Central Asia,ECS,21.10394243,21.18322036,20.88998025
Ecuador,ECU,10.89999962,9.800000191,10.80000019
"Egypt, Arab Rep.",EGY,37.90000153,41.70000076,42
Euro area,EMU,25.80809489,26.93888968,27.58394598
Eritrea,ERI,10.60000038,10.80000019,10.89999962
Spain,ESP,54.29999924,57.09999847,57.90000153
Estonia,EST,21,18.70000076,17
Ethiopia,ETH,7.900000095,6.599999905,7.099999905
European Union,EUU,25.03258577,25.71726864,25.11613919
Fragile and conflict affected situations,FCS,16.61488938,16.60343442,16.66226142
Finland,FIN,17.79999924,19.60000038,19.20000076
Fiji,FJI,20.20000076,19.60000038,18.60000038
France,FRA,23.79999924,23.70000076,23.89999962
Gabon,GAB,34.59999847,35.70000076,35.5
United Kingdom,GBR,21.39999962,20.29999924,16.70000076
Georgia,GEO,33.79999924,35.70000076,34.09999847
Ghana,GHA,7.400000095,1.899999976,3.299999952
Guinea,GIN,1.399999976,1.5,1.700000048
"Gambia, The",GMB,10.69999981,10.69999981,10.60000038
Guinea-Bissau,GNB,11,11,11.10000038
Equatorial Guinea,GNQ,10.69999981,11,12.60000038
Greece,GRC,54.70000076,58,53.90000153
Guatemala,GTM,5.599999905,5.699999809,5.400000095
Guyana,GUY,23.10000038,23.39999962,23.79999924
High income,HIC,18.65356888,18.58911295,17.83189196
"Hong Kong SAR, China",HKG,9.300000191,8.899999619,8.5
Honduras,HND,7.099999905,6.900000095,6.900000095
Heavily indebted poor countries (HIPC),HPC,11.48885495,11.05718514,11.12491988
Croatia,HRV,44.09999847,50.29999924,45.90000153
Haiti,HTI,17.29999924,17,17.10000038
Hungary,HUN,27.89999962,27,21
IBRD only,IBD,14.20912612,14.30328981,14.54452811
IDA & IBRD total,IBT,13.31278214,13.35477228,13.53112602
IDA total,IDA,11.03727109,11.02792824,11.1285157
IDA blend,IDB,10.17111324,10.48135345,10.61902783
Indonesia,IDN,20.29999924,21.79999924,21.79999924
IDA only,IDX,11.52256997,11.32930665,11.40490842
India,IND,10.69999981,10.39999962,10.39999962
Ireland,IRL,30.39999962,26.70000076,25.79999924
"Iran, Islamic Rep.",IRN,28.29999924,28.79999924,29.39999962
Iraq,IRQ,32.40000153,32.09999847,34.59999847
Iceland,ISL,13.39999962,11.10000038,10.89999962
Israel,ISR,12.30000019,10.69999981,11
Italy,ITA,35.20000076,39.70000076,44.09999847
Jamaica,JAM,32.90000153,35.70000076,30.5
Jordan,JOR,31.29999924,33.29999924,28.79999924
Japan,JPN,7.800000191,6.800000191,6.5
Kazakhstan,KAZ,4.599999905,4.099999905,3.5
Kenya,KEN,17.29999924,17.29999924,17.39999962
Kyrgyz Republic,KGZ,16.60000038,15.30000019,14.69999981
Cambodia,KHM,0.5,0.699999988,0.899999976
"Korea, Rep.",KOR,8.899999619,9.199999809,10.39999962
Kuwait,KWT,21.10000038,20.5,19.39999962
Latin America & Caribbean (excluding high income),LAC,13.51863412,13.21254539,13.86430965
Lao PDR,LAO,3.299999952,3.299999952,3.400000095
Lebanon,LBN,20.79999924,20.20000076,20.70000076
Liberia,LBR,5,4.599999905,4.599999905
Libya,LBY,46.20000076,47,48.90000153
Latin America & Caribbean,LCN,13.69538622,13.39231665,14.03033962
Least developed countries: UN classification,LDC,11.43183197,11.40736868,11.4583221
Low income,LIC,10.40527048,10.21640793,10.22931929
Sri Lanka,LKA,16.60000038,18.39999962,19.10000038
Lower middle income,LMC,13.23102283,13.32071141,13.38482462
Low & middle income,LMY,13.228547,13.26902482,13.46700801
Lesotho,LSO,36,30.5,33
Late-demographic dividend,LTE,11.56805377,11.81621141,12.06561389
Lithuania,LTU,26.20000076,21.89999962,21.5
Luxembourg,LUX,18.5,19.20000076,16
Latvia,LVA,28.29999924,23.10000038,19.29999924
"Macao SAR, China",MAC,5,3.5,2.900000095
Morocco,MAR,18.5,18.39999962,20.20000076
Moldova,MDA,13.10000038,13.5,8.5
Madagascar,MDG,6.199999809,5.599999905,5.199999809
Maldives,MDV,26.60000038,26,26.89999962
Middle East & North Africa,MEA,29.65067464,29.93350003,30.40355258
Mexico,MEX,9.5,9.399999619,9.899999619
Middle income,MIC,13.56830105,13.65192373,13.89020455
"Macedonia, FYR",MKD,53.79999924,51.79999924,50.79999924
Mali,MLI,10.5,10.5,10.5
Malta,MLT,14.30000019,14.10000038,13.60000038
Myanmar,MMR,9.300000191,9.300000191,9.5
Middle East & North Africa (excluding high income),MNA,30.89008842,31.21148325,31.68383291
Montenegro,MNE,41.29999924,40.5,39.5
Mongolia,MNG,9.600000382,9.600000382,9.300000191
Mozambique,MOZ,40.70000076,40.70000076,40.70000076
Mauritania,MRT,46.5,46.59999847,46.59999847
Mauritius,MUS,23.70000076,21.89999962,21.20000076
Malawi,MWI,14,13.89999962,13.80000019
Malaysia,MYS,10.19999981,10.60000038,6.699999809
North America,NAC,16.29165096,15.61048814,13.94309959
Namibia,NAM,34.20000076,40.59999847,38.70000076
Niger,NER,7.199999809,7.199999809,7.099999905
Nigeria,NGA,13.69999981,13.60000038,13.60000038
Nicaragua,NIC,10.60000038,7.699999809,7.599999905
Netherlands,NLD,9.5,11,11.10000038
Norway,NOR,8.600000382,9.100000382,8.399999619
Nepal,NPL,4,4,4
New Zealand,NZL,17.70000076,15.80000019,14.60000038
OECD members,OED,17.08544365,16.92381884,16.40832082
Oman,OMN,18.79999924,18.60000038,18.79999924
Other small states,OSS,22.87488947,23.21186902,23.32133744
Pakistan,PAK,8.100000382,8.300000191,8.600000382
Panama,PAN,10,10.10000038,11
Peru,PER,8.5,8.699999809,9.199999809
Philippines,PHL,16.39999962,16.60000038,16.39999962
