,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1562434386,81,-53.16,-70.91,46.4,3.36
1,Khatanga,73,RU,1562434549,72,71.98,102.47,43.6,13.87
2,Longyearbyen,0,NO,1562434677,58,78.22,15.63,59.0,3.36
3,Luderitz,0,NA,1562434677,82,-26.65,15.16,57.2,14.99
4,Nelson Bay,90,AU,1562434677,100,-32.72,152.14,54.0,3.36
5,Tura,93,RU,1562434678,95,64.27,100.22,53.68,2.33
6,Souillac,0,FR,1562434678,45,45.6,-0.6,84.2,10.29
7,El Sauzal,90,AR,1562434678,62,-24.3,-64.96,51.8,10.29
8,Jamestown,98,AU,1562434678,88,-33.21,138.6,54.04,7.27
9,Barrow,0,AR,1562434678,49,-38.31,-60.23,53.32,8.84
10,Karratha,0,AU,1562434392,72,-20.74,116.85,62.86,2.44
11,Baiyin,0,CN,1562434678,54,36.55,104.13,59.0,6.71
12,Hermanus,100,ZA,1562434678,76,-34.42,19.24,64.99,21.99
13,Sumbe,0,AO,1562434679,86,-11.2,13.84,71.14,6.58
14,Northam,90,AU,1562434679,93,-31.65,116.67,53.6,4.7
15,Vaini,98,IN,1562434679,86,15.34,74.49,78.34,11.05
16,Yellowknife,75,CA,1562434679,55,62.45,-114.38,64.4,2.24
17,Chapais,75,CA,1562434679,48,49.78,-74.86,62.6,17.22
18,Te Anau,67,NZ,1562434680,80,-45.41,167.72,42.16,10.85
19,Vao,96,EE,1562434680,87,59.1,26.19,55.12,7.0
20,Lagoa,20,PT,1562434680,73,37.14,-8.45,80.01,23.04
21,Pleasanton,1,US,1562434680,56,37.66,-121.87,77.0,3.36
22,Airai,7,TL,1562434680,76,-8.93,125.41,63.94,6.76
23,Rikitea,99,PF,1562434381,71,-23.12,-134.97,70.42,22.37
24,Yuksekova,0,TR,1562434680,30,37.57,44.29,75.2,5.82
25,Kavaratti,100,IN,1562434680,80,10.57,72.64,83.74,18.07
26,Hobart,65,AU,1562434681,100,-42.88,147.33,43.0,3.36
27,Thompson,40,CA,1562434681,31,55.74,-97.86,73.4,9.17
28,Busselton,8,AU,1562434681,80,-33.64,115.35,50.0,16.13
29,Hilo,1,US,1562434506,64,19.71,-155.08,75.0,5.82
30,Ushuaia,40,AR,1562434681,86,-54.81,-68.31,41.0,4.7
31,Sapucaia,8,BR,1562434681,57,-21.99,-42.91,66.1,6.96
