,lat,lon,mci,neighbourhood,occurrencedate,occurrenceday,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear
0,43.6684494,-79.3430939,Robbery,North Riverdale (68),1398338940000,24.0,11,April,2014.0,Robbery - Mugging,Commercial,1398343560000,24,Thursday  ,114,12,April,2014
1,43.759285,-79.5079269,Break and Enter,Black Creek (24),1398344400000,24.0,13,April,2014.0,B&E,House,1398355080000,24,Thursday  ,114,15,April,2014
2,43.6975517,-79.5016632,Assault,Brookhaven-Amesbury (30),1398432000000,25.0,13,April,2014.0,Assault,Apartment,1398433920000,25,Friday    ,115,13,April,2014
3,43.7217026,-79.5715103,Assault,Rexdale-Kipling (4),1398358800000,24.0,17,April,2014.0,Assault,Outside,1398421800000,25,Friday    ,115,10,April,2014
4,43.6638908,-79.5034866,Assault,Lambton Baby Point (114),1398441600000,25.0,16,April,2014.0,Assault,Apartment,1398442500000,25,Friday    ,115,16,April,2014
5,43.6573067,-79.3734589,Assault,Moss Park (73),1398465000000,25.0,22,April,2014.0,Assault,Apartment,1398465720000,25,Friday    ,115,22,April,2014
6,43.6663628,-79.3166046,Assault,Woodbine Corridor (64),1399081560000,3.0,1,May,2014.0,Assault,Outside,1399088520000,3,Saturday  ,123,3,May,2014
7,43.6581116,-79.4020233,Assault,University (79),1399092240000,3.0,4,May,2014.0,Assault With Weapon,Outside,1399092240000,3,Saturday  ,123,4,May,2014
8,43.6581116,-79.4020233,Assault,University (79),1399092240000,3.0,4,May,2014.0,Assault With Weapon,Outside,1399092240000,3,Saturday  ,123,4,May,2014
9,43.6581116,-79.4020233,Assault,University (79),1399092240000,3.0,4,May,2014.0,Assault With Weapon,Outside,1399092240000,3,Saturday  ,123,4,May,2014
10,43.6581116,-79.4020233,Assault,University (79),1399092240000,3.0,4,May,2014.0,Assault With Weapon,Outside,1399092240000,3,Saturday  ,123,4,May,2014
11,43.6581116,-79.4020233,Assault,University (79),1399092240000,3.0,4,May,2014.0,Assault With Weapon,Outside,1399092240000,3,Saturday  ,123,4,May,2014
12,43.6581116,-79.4020233,Assault,University (79),1399092240000,3.0,4,May,2014.0,Assault Bodily Harm,Outside,1399092240000,3,Saturday  ,123,4,May,2014
13,43.768856,-79.4669266,Assault,Bathurst Manor (34),1389094140000,7.0,11,January,2014.0,Assault - Resist/ Prevent Seiz,Other,1389094140000,7,Tuesday   ,7,11,January,2014
14,43.8078041,-79.2155991,Assault,Malvern (132),1389107340000,7.0,15,January,2014.0,Assault With Weapon,Apartment,1389107340000,7,Tuesday   ,7,15,January,2014
15,43.641552,-79.4745407,Break and Enter,High Park-Swansea (87),1389034800000,6.0,19,January,2014.0,B&E,Other,1389125160000,7,Tuesday   ,7,20,January,2014
16,43.6951332,-79.3034821,Assault,Taylor-Massey (61),1392651000000,17.0,15,February,2014.0,Assault,Apartment,1392732540000,18,Tuesday   ,49,14,February,2014
17,43.7604637,-79.5097809,Assault,Black Creek (24),1388545080000,1.0,2,January,2014.0,Assault,Apartment,1388545080000,1,Wednesday ,1,2,January,2014
18,43.65588,-79.3632202,Assault,Regent Park (72),1388574060000,1.0,11,January,2014.0,Assault Bodily Harm,Outside,1388574540000,1,Wednesday ,1,11,January,2014
19,43.6639061,-79.3841553,Robbery,Church-Yonge Corridor (75),1388545200000,1.0,3,January,2014.0,Robbery - Business,Commercial,1388587980000,1,Wednesday ,1,14,January,2014
20,43.6500702,-79.3968811,Break and Enter,Kensington-Chinatown (78),1388572200000,1.0,10,January,2014.0,B&E,Commercial,1388664960000,2,Thursday  ,2,12,January,2014
21,43.66465,-79.3805237,Assault,Church-Yonge Corridor (75),1388541600000,1.0,2,January,2014.0,Assault,Commercial,1388686320000,2,Thursday  ,2,18,January,2014
22,43.699131,-79.2543335,Assault,Birchcliffe-Cliffside (122),1389096000000,7.0,12,January,2014.0,Assault With Weapon,Apartment,1389098460000,7,Tuesday   ,7,12,January,2014
23,43.7494888,-79.5327911,Theft Over,Humbermede (22),1389262680000,9.0,10,January,2014.0,Theft Over,Commercial,1389262680000,9,Thursday  ,9,10,January,2014
24,43.6724319,-79.3341904,Break and Enter,South Riverdale (70),1389890400000,16.0,16,January,2014.0,B&E,House,1389890400000,16,Thursday  ,16,16,January,2014
25,43.7736168,-79.2611313,Assault,Bendale (127),1389913200000,16.0,23,January,2014.0,Assault,Outside,1389913200000,16,Thursday  ,16,23,January,2014
26,43.6878204,-79.4349365,Assault,Oakwood Village (107),1390063500000,18.0,16,January,2014.0,Assault With Weapon,House,1390085160000,18,Saturday  ,18,22,January,2014
27,43.6580772,-79.3847122,Assault,Bay Street Corridor (76),1390086720000,18.0,23,January,2014.0,Assault,Commercial,1390086720000,18,Saturday  ,18,23,January,2014
28,43.6449547,-79.397644,Assault,Waterfront Communities-The Island (77),1390011600000,18.0,2,January,2014.0,Assault,Commercial,1390051800000,18,Saturday  ,18,13,January,2014
29,43.7659111,-79.5196915,Assault,Black Creek (24),1390466700000,23.0,8,January,2014.0,Assault,Apartment,1390477320000,23,Thursday  ,23,11,January,2014
30,43.7659111,-79.5196915,Assault,Black Creek (24),1390466700000,23.0,8,January,2014.0,Assault With Weapon,Apartment,1390477320000,23,Thursday  ,23,11,January,2014
31,43.7496948,-79.2644653,Assault,Bendale (127),1390582800000,24.0,17,January,2014.0,Assault,Apartment,1390582800000,24,Friday    ,24,17,January,2014
32,43.7637062,-79.5136261,Robbery,Black Creek (24),1391815800000,7.0,23,February,2014.0,Robbery - Swarming,Outside,1391816520000,7,Friday    ,38,23,February,2014
33,43.7564392,-79.3607712,Theft Over,St.Andrew-Windfields (40),1391863680000,8.0,12,February,2014.0,Theft Over,Commercial,1391863680000,8,Saturday  ,39,12,February,2014
34,43.663723,-79.3705215,Break and Enter,Cabbagetown-South St.James Town (71),1391872860000,8.0,15,February,2014.0,B&E W'Intent,Apartment,1391872860000,8,Saturday  ,39,15,February,2014
35,43.7666092,-79.1856613,Assault,West Hill (136),1391889600000,8.0,20,February,2014.0,Assault With Weapon,Outside,1391907960000,9,Sunday    ,40,1,February,2014
36,43.6943665,-79.2736511,Assault,Oakridge (121),1391905800000,9.0,0,February,2014.0,Assault,Apartment,1391907540000,9,Sunday    ,40,0,February,2014
37,43.8162804,-79.2164001,Break and Enter,Malvern (132),1391871600000,8.0,15,February,2014.0,B&E,House,1391941740000,9,Sunday    ,40,10,February,2014
38,43.6538239,-79.3938599,Assault,Kensington-Chinatown (78),1391875200000,8.0,16,February,2014.0,Assault,Apartment,1391958120000,9,Sunday    ,40,15,February,2014
39,43.6969986,-79.2854004,Assault,Oakridge (121),1391977380000,9.0,20,February,2014.0,Assault,Apartment,1391981100000,9,Sunday    ,40,21,February,2014
40,43.6969986,-79.2854004,Assault,Oakridge (121),1391977380000,9.0,20,February,2014.0,Assault With Weapon,Apartment,1391981100000,9,Sunday    ,40,21,February,2014
41,43.7439919,-79.5988693,Assault,West Humber-Clairville (1),1393673880000,1.0,11,March,2014.0,Assault With Weapon,House,1393673880000,1,Saturday  ,60,11,March,2014
42,43.7630234,-79.3175278,Break and Enter,Wexford/Maryvale (119),1388644200000,2.0,6,January,2014.0,B&E,Apartment,1388704680000,2,Thursday  ,2,23,January,2014
43,43.768837,-79.3783798,Assault,Bayview Village (52),1388992320000,6.0,7,January,2014.0,Assault,Apartment,1388992320000,6,Monday    ,6,7,January,2014
44,43.7460785,-79.3886261,Break and Enter,Bridle Path-Sunnybrook-York Mills (41),1389034680000,6.0,18,January,2014.0,B&E,House,1389034680000,6,Monday    ,6,18,January,2014
45,43.7565994,-79.5120697,Assault,Glenfield-Jane Heights (25),1389045180000,6.0,21,January,2014.0,Assault With Weapon,House,1389045180000,6,Monday    ,6,21,January,2014
46,43.6713829,-79.3165054,Assault,Woodbine Corridor (64),1389486240000,12.0,0,January,2014.0,Assault,Other,1389486240000,12,Sunday    ,12,0,January,2014
47,43.6659164,-79.4074707,Assault,Annex (95),1389493200000,12.0,2,January,2014.0,Assault With Weapon,Commercial,1389493380000,12,Sunday    ,12,2,January,2014
48,43.6659164,-79.4074707,Assault,Annex (95),1389493200000,12.0,2,January,2014.0,Assault Bodily Harm,Commercial,1389493380000,12,Sunday    ,12,2,January,2014
49,43.6933556,-79.5885162,Assault,West Humber-Clairville (1),1389611700000,13.0,11,January,2014.0,Assault,Commercial,1389611700000,13,Monday    ,13,11,January,2014
50,43.6933556,-79.5885162,Assault,West Humber-Clairville (1),1389611700000,13.0,11,January,2014.0,Assault,Commercial,1389611700000,13,Monday    ,13,11,January,2014
51,43.7679291,-79.2711105,Robbery,Bendale (127),1389631620000,13.0,16,January,2014.0,Robbery - Financial Institute,Commercial,1389631620000,13,Monday    ,13,16,January,2014
52,43.768383,-79.3490372,Theft Over,Henry Farm (53),1389709320000,14.0,14,January,2014.0,Theft Over,House,1389711600000,14,Tuesday   ,14,15,January,2014
53,43.7333374,-79.2632904,Robbery,Ionview (125),1389735960000,14.0,21,January,2014.0,Robbery - Mugging,Outside,1389735960000,14,Tuesday   ,14,21,January,2014
54,43.636673,-79.3967285,Assault,Waterfront Communities-The Island (77),1391059740000,30.0,5,January,2014.0,Assault,Apartment,1391059740000,30,Thursday  ,30,5,January,2014
55,43.7621841,-79.3211517,Assault,Parkwoods-Donalda (45),1391083200000,30.0,12,January,2014.0,Assault,Outside,1391095860000,30,Thursday  ,30,15,January,2014
56,43.8115196,-79.3145447,Break and Enter,Steeles (116),1391106480000,30.0,18,January,2014.0,B&E,House,1391106480000,30,Thursday  ,30,18,January,2014
57,43.7768669,-79.3162231,Assault,Tam O'Shanter-Sullivan (118),1391129100000,31.0,0,January,2014.0,Assault,House,1391129100000,31,Friday    ,31,0,January,2014
