Zipcode,Address,Population_x,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count,Population_y,Unemployment Rate
49058,"Hastings, MI 49058, USA",19031,40.8,46777,22137,13.18375282,42.6306916,-85.2929384,9,19031.0,5.312385055961326
71405,"Ball, LA 71405, USA",5687,35.8,55242,23941,15.73764727,31.4061799,-92.396174,12,5687.0,4.571830490592579
20634,"Great Mills, MD 20634, USA",6562,31.9,79944,35961,9.295946358,38.2201614,-76.4967919,9,6562.0,4.053642182261505
38487,"Williamsport, TN 38487, USA",762,41.6,38125,18884,24.40944882,35.7310368,-87.2419299,0,762.0,10.236220472440944
58466,"Marion, ND 58466, USA",509,44.5,69844,36981,9.430255403,46.5594224,-98.3481542,1,509.0,1.1787819253438114
89316,"Eureka, NV 89316, USA",1513,38.7,63603,26280,14.87111699,39.564892,-115.9940986,1,1513.0,0.6609385327164574
66507,"Maple Hill, KS 66507, USA",1237,31.8,67500,23114,2.425222312,38.9793352,-96.0044121,1,1237.0,1.5359741309620047
93637,"Madera, CA 93637, USA",40515,29.5,48974,17449,20.05183265,36.9152938,-120.2051096,0,40515.0,3.2580525731210663
92392,"Victorville, CA 92392, USA",54557,27.9,58667,19090,19.85446414,34.4854334,-117.4203974,14,54557.0,7.027512509852081
49080,"Plainwell, MI 49080, USA",15624,40.9,53743,25048,11.97516641,42.446414,-85.5817911,6,15624.0,6.003584229390681
53118,"Dousman, WI 53118, USA",7248,46.9,81619,38393,3.214679912,42.9902388,-88.4984991,2,7248.0,3.187086092715232
14033,"Colden, NY 14033, USA",2170,44.3,81979,32764,6.728110599,42.6628737,-78.6909263,1,2170.0,4.746543778801843
71331,"Effie, LA 71331, USA",841,34.3,37109,18372,24.61355529,31.2692973,-92.0469151,0,841.0,2.853745541022592
60645,"Chicago, IL 60645, USA",46913,35,48918,25500,18.4192015,42.0105286,-87.6926257,197,46913.0,4.63197834289003
46236,"Indianapolis, IN 46236, USA",27509,40.3,80833,38140,4.74753717,39.9008411,-85.9611082,47,27509.0,3.69697190010542
92285,"Landers, CA 92285, USA",2739,50.1,22917,17840,37.60496532,34.3350492,-116.5373923,1,2739.0,5.768528660094925
46524,"Etna Green, IN 46524, USA",2541,32,60033,19849,13.34120425,41.3129797,-86.0325629,3,2541.0,3.2270759543486816
83830,"Fernwood, ID 83830, USA",929,42.7,37244,16450,8.934337998,47.0795166,-116.3845766,0,929.0,0.0
10553,"Mt Vernon, NY 10553, USA",9895,40.7,58514,26137,15.26023244,40.9071072,-73.8213213,196,9895.0,9.004547751389591
64480,"Rea, MO 64480, USA",325,57.5,65000,34670,11.69230769,40.0720342,-94.6657027,0,325.0,0.0
