loser_age,loser_id,loser_name,loser_rank,winner_age,winner_id,winner_name,winner_rank
17.85900068,200002,Mirjana Lucic,49,19.29637235,200001,Martina Hingis,1
27.11841205,200004,Kerry Anne Guse,133,17.62902122,200003,Justine Henin,63
31.37850787,200005,Jolene Watanabe Giltz,118,26.45859001,200006,Karina Habsudova,53
22.00684463,200007,Silvija Talaja,23,18.9705681,200008,Alicia Molik,116
24.82135524,200010,Rita Grande,60,22.65023956,200009,Tamarine Tanasugarn,72
18.85010267,200011,Katarina Srebotnik,66,25.60711841,200012,Jana Nejedly,84
26.74606434,200014,Tzipi Obziler,214,26.28884326,200013,Angelica Gavaldon,320
21.99863107,200015,Petra Mandula,109,27.78918549,200016,Sandrine Testud,14
23.65776865,200018,Julia Abe,113,28.08213552,200017,Arantxa Sanchez Vicario,15
26.15195072,200019,Alexandra Fusai,177,26.4366872,200020,Lisa Raymond,28
29.70841889,200021,Alexia Dechaume Balleret,101,23.52361396,200022,Emmanuelle Gagliardi,71
25.65092402,200024,Maria Vento Kabchi,88,20.10677618,200023,Bryanne Stewart,275
20.25735797,200025,Ludmila Cervanova,104,28.59958932,200026,Florencia Labat,121
28.82683094,200028,Maureen Drake,55,20.88158795,200027,Magui Serna,46
25.2183436,200029,Lisa Mcshea,159,21.79603012,200030,Miroslava Vavrinec,96
21.99863107,200031,Meilen Tu,110,23.85489391,200032,Barbara Schett,9
20.81587953,200034,Amanda Grahame,261,18.30800821,200033,Serena Williams,4
22.19301848,200035,Maria Sanchez Lorenzo,45,26.86926762,200036,Nicole Pratt,58
21.95482546,200038,Annabel Ellwood,111,27.73716632,200037,Sabine Appelmans,31
23.50444901,200040,Anna Smashnova,48,23.91238877,200039,Chanda Rubin,22
27.32648871,200041,Amy Frazier,19,29.40999316,200042,Els Callens,89
16.6844627,200043,Virginie Razzano,344,20.93908282,200044,Denisa Chladkova,57
22.64476386,200045,Tara Snyder,74,20.76386037,200046,Meghann Shaughnessy,91
25.51129363,200047,Pavlina Nola,117,24.35865845,200048,Elena Likhovtseva,18
21.69472964,200050,Sandra Kleinova,65,27.75359343,200049,Conchita Martinez,13
25.81245722,200051,Irina Spirlea,40,20.20807666,200052,Olga Barabanschikova,75
24.86516085,200053,Lubomira Bacheva,73,22.49418207,200054,Sylvia Plischke,33
23.85215606,200055,Mariana Diaz Oliva,106,18.53251198,200056,Jelena Kostanic Tosic,98
25.40451745,200058,Anna Foldenyi Dicker,115,27.25804244,200057,Erika De Lone,68
22.54893908,200060,Tathiana Garbin,114,27.23066393,200059,Ruxandra Dragomir Ilie,20
26.06707734,200061,Gala Leon Garcia,50,22.80355921,200062,Kristina Brandi,54
23.42778919,200063,Tatiana Panova,41,28.23819302,200064,Amanda Coetzer,10
25.34702259,200066,Cristina Torrens Valero,52,20.53661875,200065,Amelie Mauresmo,6
21.77960301,200068,Lilia Osterloh,82,21.09240246,200067,Patty Schnyder,29
20.48459959,200070,Anne Gaelle Sidot,35,17.60985626,200069,Nadia Petrova,85
23.74264203,200071,Lenka Nemeckova,108,20.91444216,200072,Cara Black,42
25.5742642,200074,Jane Chi,107,24.19986311,200073,Julie Pullin,174
23.99726215,200076,Laurence Courtois,80,25.88364134,200075,Jing Qian Yi,137
20.97193703,200078,Barbara Schwartz,43,23.80287474,200077,Jennifer Capriati,21
16.61054073,200079,Kim Clijsters,34,26.63107461,200080,Dominique Monami,16
25.11978097,200081,Anke Huber,17,26.0862423,200082,Kristie Boogert,100
19.08829569,200083,Alexandra Stevenson,36,24.58863792,200084,Asa Svensson,59
24.79671458,200086,Magdalena Maleeva,70,24.53661875,200085,Ai Sugiyama,24
25.65639973,200087,Seda Noorlander,83,23.55920602,200088,Adriana Gersi,78
22.67761807,200090,Anca Barna,120,27.35386721,200089,Miriam Oremans,99
23.23613963,200091,Janet Lee,94,19.41683778,200092,Sandra Nacuk,103
26.72963723,200094,Barbara Rittner,56,21.80971937,200093,Amelie Cocheteux,62
28.93086927,200095,Linda Wild,190,25.00479124,200096,Mary Pierce,5
21.08966461,200098,Henrieta Nagyova,32,32.25188227,200097,Nathalie Tauziat,8
23.93155373,200100,Amanda Hopmans,77,23.73169062,200099,Sonya Jeyaseelan,145
17.724846,200102,Melissa Dowse,391,23.321013,200101,Jana Kandarr,141
19.63586585,200103,Evie Dominikovic,154,20.60780287,200104,Emilie Loit,97
28.12594114,200105,Rachel Mcquillan,153,24.44900753,200106,Angeles Montolio,61
23.56741958,200107,Paola Suarez,69,18.25598905,200108,Elena Dementieva,64
20.90349076,200109,Nathalie Dechy,25,21.02669405,200110,Fabiola Zuluaga,51
15.71800137,200111,Lina Krasnoroutskaya,165,29.35249829,200112,Julie Halard Decugis,11
21.45106092,200114,Patricia Wartusch,93,18.61190965,200113,Anna Kournikova,12
19.9890486,200115,Brie Rippner,102,28.75564682,200116,Natalia Zvereva,26
26.32169747,200118,Virginia Ruano Pascual,87,24.52566735,200117,Kveta Peschke,47
16.76659822,200120,Jelena Dokic,39,21.9247091,200119,Rita Kuti Kis,86
18.90759754,200122,Tina Pisnik,81,22.99520876,200121,Alina Jidkova,122
24.25188227,200124,Anne Kremer,27,19.96440794,200123,Marlene Weingartner,90
21.97399042,200125,Corina Morariu,37,19.56741958,200126,Marissa Gould,130
24.1779603,200127,Sarah Pitkowski Malcor,38,23.60848734,200128,Lindsay Davenport,2
17.62902122,200003,Justine Henin,63,19.29637235,200001,Martina Hingis,1
26.45859001,200006,Karina Habsudova,53,18.9705681,200008,Alicia Molik,116
25.60711841,200012,Jana Nejedly,84,22.65023956,200009,Tamarine Tanasugarn,72
26.28884326,200013,Angelica Gavaldon,320,27.78918549,200016,Sandrine Testud,14
26.4366872,200020,Lisa Raymond,28,28.08213552,200017,Arantxa Sanchez Vicario,15
23.52361396,200022,Emmanuelle Gagliardi,71,20.10677618,200023,Bryanne Stewart,275
20.88158795,200027,Magui Serna,46,28.59958932,200026,Florencia Labat,121
21.79603012,200030,Miroslava Vavrinec,96,23.85489391,200032,Barbara Schett,9
26.86926762,200036,Nicole Pratt,58,18.30800821,200033,Serena Williams,4
23.91238877,200039,Chanda Rubin,22,27.73716632,200037,Sabine Appelmans,31
20.93908282,200044,Denisa Chladkova,57,29.40999316,200042,Els Callens,89
20.76386037,200046,Meghann Shaughnessy,91,24.35865845,200048,Elena Likhovtseva,18
20.20807666,200052,Olga Barabanschikova,75,27.75359343,200049,Conchita Martinez,13
22.49418207,200054,Sylvia Plischke,33,18.53251198,200056,Jelena Kostanic Tosic,98
27.25804244,200057,Erika De Lone,68,27.23066393,200059,Ruxandra Dragomir Ilie,20
28.23819302,200064,Amanda Coetzer,10,22.80355921,200062,Kristina Brandi,54
20.53661875,200065,Amelie Mauresmo,6,21.09240246,200067,Patty Schnyder,29
20.91444216,200072,Cara Black,42,17.60985626,200069,Nadia Petrova,85
24.19986311,200073,Julie Pullin,174,25.88364134,200075,Jing Qian Yi,137
26.63107461,200080,Dominique Monami,16,23.80287474,200077,Jennifer Capriati,21
26.0862423,200082,Kristie Boogert,100,24.58863792,200084,Asa Svensson,59
23.55920602,200088,Adriana Gersi,78,24.53661875,200085,Ai Sugiyama,24
19.41683778,200092,Sandra Nacuk,103,27.35386721,200089,Miriam Oremans,99
21.80971937,200093,Amelie Cocheteux,62,25.00479124,200096,Mary Pierce,5
32.25188227,200097,Nathalie Tauziat,8,23.73169062,200099,Sonya Jeyaseelan,145
20.60780287,200104,Emilie Loit,97,23.321013,200101,Jana Kandarr,141
24.44900753,200106,Angeles Montolio,61,18.25598905,200108,Elena Dementieva,64
21.02669405,200110,Fabiola Zuluaga,51,29.35249829,200112,Julie Halard Decugis,11
28.75564682,200116,Natalia Zvereva,26,18.61190965,200113,Anna Kournikova,12
21.9247091,200119,Rita Kuti Kis,86,24.52566735,200117,Kveta Peschke,47
19.96440794,200123,Marlene Weingartner,90,22.99520876,200121,Alina Jidkova,122
19.56741958,200126,Marissa Gould,130,23.60848734,200128,Lindsay Davenport,2
18.9705681,200008,Alicia Molik,116,19.29637235,200001,Martina Hingis,1
22.65023956,200009,Tamarine Tanasugarn,72,27.78918549,200016,Sandrine Testud,14
20.10677618,200023,Bryanne Stewart,275,28.08213552,200017,Arantxa Sanchez Vicario,15
28.59958932,200026,Florencia Labat,121,23.85489391,200032,Barbara Schett,9
27.73716632,200037,Sabine Appelmans,31,18.30800821,200033,Serena Williams,4
29.40999316,200042,Els Callens,89,24.35865845,200048,Elena Likhovtseva,18
18.53251198,200056,Jelena Kostanic Tosic,98,27.75359343,200049,Conchita Martinez,13
27.23066393,200059,Ruxandra Dragomir Ilie,20,22.80355921,200062,Kristina Brandi,54
17.60985626,200069,Nadia Petrova,85,21.09240246,200067,Patty Schnyder,29
25.88364134,200075,Jing Qian Yi,137,23.80287474,200077,Jennifer Capriati,21
24.58863792,200084,Asa Svensson,59,24.53661875,200085,Ai Sugiyama,24
27.35386721,200089,Miriam Oremans,99,25.00479124,200096,Mary Pierce,5
23.73169062,200099,Sonya Jeyaseelan,145,23.321013,200101,Jana Kandarr,141
18.25598905,200108,Elena Dementieva,64,29.35249829,200112,Julie Halard Decugis,11
24.52566735,200117,Kveta Peschke,47,18.61190965,200113,Anna Kournikova,12
22.99520876,200121,Alina Jidkova,122,23.60848734,200128,Lindsay Davenport,2
27.78918549,200016,Sandrine Testud,14,19.29637235,200001,Martina Hingis,1
23.85489391,200032,Barbara Schett,9,28.08213552,200017,Arantxa Sanchez Vicario,15
18.30800821,200033,Serena Williams,4,24.35865845,200048,Elena Likhovtseva,18
