player_id,first_name,last_name,hand,country_code
200001,Martina,Hingis,R,SUI
200002,Mirjana,Lucic,R,CRO
200003,Justine,Henin,R,BEL
200004,Kerry Anne,Guse,R,AUS
200005,Jolene,Watanabe Giltz,R,USA
200006,Karina,Habsudova,R,SVK
200007,Silvija,Talaja,R,CRO
200008,Alicia,Molik,R,AUS
200009,Tamarine,Tanasugarn,R,THA
200010,Rita,Grande,R,ITA
200011,Katarina,Srebotnik,R,SLO
200012,Jana,Nejedly,R,CAN
200013,Angelica,Gavaldon,R,MEX
200014,Tzipi,Obziler,R,ISR
200015,Petra,Mandula,R,HUN
200016,Sandrine,Testud,R,FRA
200017,Arantxa,Sanchez Vicario,R,ESP
200018,Julia,Abe,R,GER
200019,Alexandra,Fusai,R,FRA
200020,Lisa,Raymond,R,USA
200021,Alexia,Dechaume Balleret,R,FRA
200022,Emmanuelle,Gagliardi,R,SUI
200023,Bryanne,Stewart,R,AUS
200024,Maria,Vento Kabchi,R,VEN
200025,Ludmila,Cervanova,R,SVK
200026,Florencia,Labat,L,ARG
200027,Magui,Serna,L,ESP
200028,Maureen,Drake,R,CAN
200029,Lisa,Mcshea,R,AUS
200030,Miroslava,Vavrinec,R,SUI
200031,Meilen,Tu,R,USA
200032,Barbara,Schett,R,AUT
200033,Serena,Williams,R,USA
200034,Amanda,Grahame,L,AUS
200035,Maria,Sanchez Lorenzo,R,ESP
200036,Nicole,Pratt,R,AUS
200037,Sabine,Appelmans,L,BEL
200038,Annabel,Ellwood,R,AUS
200039,Chanda,Rubin,R,USA
200040,Anna,Smashnova,R,ISR
200041,Amy,Frazier,R,USA
200042,Els,Callens,R,BEL
200043,Virginie,Razzano,R,FRA
200044,Denisa,Chladkova,R,CZE
200045,Tara,Snyder,R,USA
200046,Meghann,Shaughnessy,R,USA
200047,Pavlina,Nola,R,NZL
200048,Elena,Likhovtseva,R,RUS
200049,Conchita,Martinez,R,ESP
200050,Sandra,Kleinova,R,CZE
200051,Irina,Spirlea,R,ROU
200052,Olga,Barabanschikova,R,BLR
200053,Lubomira,Bacheva,R,BUL
200054,Sylvia,Plischke,R,AUT
200055,Mariana,Diaz Oliva,R,ARG
200056,Jelena,Kostanic Tosic,L,CRO
200057,Erika,De Lone,R,USA
200058,Anna,Foldenyi Dicker,R,HUN
200059,Ruxandra,Dragomir Ilie,R,ROU
200060,Tathiana,Garbin,R,ITA
200061,Gala,Leon Garcia,L,ESP
200062,Kristina,Brandi,R,PUR
200063,Tatiana,Panova,R,RUS
200064,Amanda,Coetzer,R,RSA
200065,Amelie,Mauresmo,R,FRA
200066,Cristina,Torrens Valero,R,ESP
200067,Patty,Schnyder,L,SUI
200068,Lilia,Osterloh,R,USA
200069,Nadia,Petrova,R,RUS
200070,Anne Gaelle,Sidot,L,FRA
200071,Lenka,Nemeckova,R,CZE
200072,Cara,Black,R,ZIM
200073,Julie,Pullin,L,GBR
200074,Jane,Chi,R,USA
