year,lifeExpectancy
2014,78.9
2013,78.8
2012,78.8
2011,78.7
2010,78.7
2009,78.5
2008,78.2
2007,78.1
2006,77.8
2005,77.6
2004,77.5
2003,77.6
2002,77
2001,77
2000,76.8
1999,76.7
1998,76.7
1997,76.5
1996,76.1
1995,75.8
1994,75.7
1993,75.5
1992,75.8
1991,75.5
1990,75.4
1989,75.1
1988,74.9
1987,74.9
1986,74.7
1985,74.7
1984,74.7
1983,74.6
1982,74.5
1981,74.1
1980,73.7
1979,73.9
1978,73.5
1977,73.3
1976,72.9
1975,72.6
1974,72
1973,71.4
1972,71.2
1971,71.1
1970,70.8
1969,70.5
1968,70.2
1967,70.5
1966,70.2
1965,70.2
1964,70.2
1963,69.9
1962,70.1
1961,70.2
1960,69.7
1959,69.9
1958,69.6
1957,69.5
1956,69.7
1955,69.6
1954,69.6
1953,68.8
1952,68.6
1951,68.4
1950,68.2
1949,68
1948,67.2
1947,66.8
1946,66.7
1945,65.9
1944,65.2
1943,63.3
1942,66.2
1941,64.8
1940,62.9
1939,63.7
1938,63.5
1937,60
1936,58.5
1935,61.7
1934,61.1
1933,63.3
1932,62.1
1931,61.1
1930,59.7
1929,57.1
1928,56.8
1927,60.4
1926,56.7
1925,59
1924,59.7
1923,57.2
1922,59.6
1921,60.8
1920,54.1
1919,54.7
1918,39.1
1917,50.9
1916,51.7
1915,54.5
1914,54.2
1913,52.5
1912,53.5
1911,52.6
1910,50
1909,52.1
1908,51.1
1907,47.6
1906,48.7
1905,48.7
1904,47.6
1903,50.5
1902,51.5
1901,49.1
1900,47.3
