Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47194,16441.79064,16585.19553,17926.57284,19081.35166,19356.20339,20620.70063,20670.65566,20434.29944,20834.5102,22567.82492,23302.83199,24014.94427,25921.02605,27546.89939,24631.43486,24271.94042,25324.72036,,,,,,
Afghanistan,AFG,59.77732651,59.87815281,58.49287383,78.78275804,82.20844386,101.2904713,137.8993619,161.3220001,129.5066538,129.7985414,157.1874224,160.3728356,136.1170144,144.1103189,174.9420383,187.975604,199.0261727,226.0053438,249.2873863,277.9007417,274.8808587,266.4930418,,,,,,,,,,,,,,,,,,,,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,631.7449706,612.0696514,584.0259021,561.7787463,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,630.074985,612.0748404,595.8577544,580.5550249,847.7667242,823.7921843,965.3612964,438.3205196,393.7845209,293.2782224,353.1820451,512.6209659,506.8849522,415.6933459,385.7688535,555.2969419,526.168743,711.181716,779.4683056,1041.086844,1443.991929,2062.415149,2878.837144,3868.578883,3347.84485,3529.053482,4299.012889,4598.249988,4804.616884,4709.312024,3695.793748,3110.808183,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4414.72314,4575.763787,3954.022783,4146.89625,
Andorra,AND,,,,,,,,,,,3238.55685,3498.173652,4217.173581,5342.16856,6319.739034,7169.101006,7152.375134,7751.370216,9129.706185,11820.84939,12377.41165,10372.23283,9610.266308,8022.654781,7728.906695,7774.393829,10361.81598,12616.16757,14304.35696,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.80901,18461.06486,19017.17459,18353.05972,18894.5215,19261.7105,21435.9264,22037.36055,24518.34306,32438.6839,38255.9505,41185.98902,43666.98514,48510.46728,47712.29908,43215.68701,39627.66352,40919.18328,38167.09575,40215.43532,,,,
Arab World,ARB,,,,,,,,,222.6888511,238.9096771,256.4208873,289.545006,335.0836702,414.0973987,769.1901572,826.0032504,996.6545473,1114.400348,1182.827294,1550.235983,2041.031418,2037.935232,1837.659921,1670.070375,1641.381222,1572.050826,1451.723753,1525.704056,1458.433302,1486.825976,1988.45874,1905.209155,2004.63398,1974.89059,1970.315735,2053.721421,2216.775124,2300.588127,2172.848006,2316.459293,2589.64845,2495.366312,2462.791442,2721.615721,3117.660806,3745.79093,4336.718583,4937.598218,6114.039959,5157.252898,5916.329624,6856.593678,7341.239892,7435.889121,7446.369661,6430.071957,6153.069547,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,26556.08003,29698.16922,33245.8361,27897.32709,32798.47823,41825.99546,44012.33307,39193.74097,34159.03735,31709.25433,29189.16779,23056.10453,23312.92953,21907.59798,23612.7452,27256.29094,26168.26662,25993.55801,25199.34958,25467.19222,26847.08005,28615.58214,29199.52461,26663.3087,28260.00502,33071.26869,31061.52935,31311.35936,33230.52318,36161.17061,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35049.14832,40462.31209,42112.23565,43350.64268,44449.74035,39101.74689,37622.20746,
Argentina,ARG,,,1148.579957,845.0771842,1166.3174,1272.010496,1266.344989,1057.755661,1136.517832,1324.082935,1317.487755,1366.354726,1401.487795,2083.972218,2824.650915,2011.68904,1932.590782,2112.501173,2129.313793,2501.480753,2738.284723,2756.396981,2907.757627,3530.131783,2643.369398,2909.51661,3595.085898,3546.71882,3969.327412,2375.339103,4318.7747,5715.504397,6798.026763,6940.350358,7449.48039,7373.428246,7683.574065,8172.664323,8248.761989,7736.369623,7669.273916,7170.694674,2579.193168,3330.437006,4251.574348,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13467.10236,12449.21685,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8557412,590.1222257,369.6333872,357.2043385,400.5160919,456.3758997,504.059514,523.2835691,609.1730254,597.4334817,622.7427477,694.4305119,783.2616099,930.1661567,1191.96192,1643.758397,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3609.654776,3606.152057,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751.766529,8914.525433,8639.308855,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11553.69121,11508.55927,11541.85498,,
