coffee_shop_name,num_rating
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,2
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,3
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,3
The Factory - Cafe With a Soul ,3
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,1
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,3
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,4
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,1
The Factory - Cafe With a Soul ,2
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,3
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,2
The Factory - Cafe With a Soul ,5
The Factory - Cafe With a Soul ,5
The Marvelous Vintage Tea Party Co. ,5
